Options(calls=         contractSymbol       lastTradeDate  strike  lastPrice     bid     ask    change  percentChange   volume  openInterest  impliedVolatility  inTheMoney contractSize currency
52  MSFT210430C00320000 2021-04-27 19:53:14   320.0       0.02    0.01    0.02  0.010000     100.000000     38.0          1143           0.679691       False      REGULAR      USD, puts=         contractSymbol       lastTradeDate  strike  lastPrice    bid    ask    change  percentChange   volume  openInterest  impliedVolatility  inTheMoney contractSize currency
0   MSFT210430P00120000 2021-04-22 17:19:10   120.0       0.02   0.00   0.01  0.000000       0.000000     10.0            20           2.250004       False      REGULAR      USD
1   MSFT210430P00125000 2021-03-25 16:52:52   125.0       0.01   0.00   0.19  0.000000       0.000000      NaN           300           2.789066       False      REGULAR      USD
2   MSFT210430P00130000 2021-04-01 14:55:14   130.0       0.04   0.00   0.10  0.000000       0.000000      1.0             9           2.476566       False      REGULAR      USD
3   MSFT210430P00140000 2021-04-01 15:14:11   140.0       0.10   0.00   0.10  0.000000       0.000000     50.0            90           2.234379       False      REGULAR      USD
4   MSFT210430P00150000 2021-04-20 13:34:37   150.0       0.01   0.00   0.10  0.000000       0.000000      3.0            21           2.000005       False      REGULAR      USD
5   MSFT210430P00155000 2021-04-08 18:23:16   155.0       0.03   0.00   0.03  0.000000       0.000000      3.0            57           1.687502       False      REGULAR      USD
6   MSFT210430P00160000 2021-04-27 14:16:54   160.0       0.01   0.00   0.01 -0.010000     -50.000000      2.0            87           1.437503       False      REGULAR      USD
7   MSFT210430P00165000 2021-04-23 18:23:07   165.0       0.01   0.00   0.01  0.000000       0.000000      1.0           559           1.375003       False      REGULAR      USD
8   MSFT210430P00170000 2021-04-26 14:34:09   170.0       0.01   0.00   0.01  0.000000       0.000000      2.0           276           1.281254       False      REGULAR      USD
9   MSFT210430P00175000 2021-04-27 18:49:34   175.0       0.01   0.00   0.01  0.000000       0.000000     57.0           171           1.187504       False      REGULAR      USD
10  MSFT210430P00180000 2021-04-26 17:26:22   180.0       0.01   0.00   0.02  0.000000       0.000000    101.0           386           1.187504       False      REGULAR      USD
11  MSFT210430P00185000 2021-04-26 13:42:13   185.0       0.02   0.00   0.02  0.000000       0.000000     45.0           600           1.109379       False      REGULAR      USD
12  MSFT210430P00190000 2021-04-27 16:52:51   190.0       0.01   0.00   0.01  0.000000       0.000000     33.0          1072           0.968750       False      REGULAR      USD
13  MSFT210430P00195000 2021-04-27 19:35:41   195.0       0.01   0.00   0.01 -0.010000     -50.000000    114.0           693           0.906251       False      REGULAR      USD
14  MSFT210430P00200000 2021-04-27 19:45:09   200.0       0.02   0.00   0.02  0.010000     100.000000    111.0           872           0.875001       False      REGULAR      USD
15  MSFT210430P00205000 2021-04-27 19:46:19   205.0       0.01   0.01   0.02 -0.010000     -50.000000    181.0          1961           0.835939       False      REGULAR      USD
16  MSFT210430P00207500 2021-04-27 19:59:28   207.5       0.01   0.00   0.05 -0.020000     -66.666670     27.0           404           0.835939       False      REGULAR      USD
17  MSFT210430P00210000 2021-04-27 19:37:21   210.0       0.02   0.01   0.03 -0.010000     -33.333336     74.0           635           0.781252       False      REGULAR      USD
18  MSFT210430P00212500 2021-04-27 19:50:34   212.5       0.02   0.01   0.02 -0.030000     -60.000004      5.0           477           0.718753       False      REGULAR      USD
19  MSFT210430P00215000 2021-04-27 19:53:18   215.0       0.02   0.01   0.03 -0.030000     -60.000004     63.0          1007           0.703128       False      REGULAR      USD
20  MSFT210430P00217500 2021-04-27 19:59:43   217.5       0.02   0.02   0.03 -0.040000     -66.666670     86.0           551           0.683597       False      REGULAR      USD
